,location,apm25_popweighted,hpm25_female_popweighted,hpm25_male_popweighted,hpm25_child_popweighted,mort_tpm25_6cod_mean_total,dalys_tpm25_rate_6cod_mean_total,mort_apm25_6cod_mean_total,dalys_apm25_rate_6cod_mean_total,mort_hpm25_6cod_mean_total,dalys_hpm25_rate_6cod_mean_total
0,Andaman and Nicobar,-1.4,-299,-215,-260,-49,-1128,36,769,-85,-1897
1,Andhra Pradesh,-8.4,-141.2,-101.7,-122.9,-9281,-596,9244,590,-18526,-1186
2,Arunachal Pradesh,-2.5,-170.6,-122.8,-148.4,-633,-1315,338,604,-970,-1919
3,Assam,-7,-231,-166.3,-201,-11915,-1223,7712,754,-19627,-1977
4,Bihar,-40.7,-523.7,-377.1,-455.6,-59575,-1616,41048,1134,-100623,-2750
5,Chhattisgarh,-16.3,-235,-169.2,-204.4,-7838,-865,8728,1003,-16566,-1868
6,Dadra and Nagar Haveli,-7.3,-299,-215,-260,-71,-582,110,982,-181,-1565
7,Daman and Diu,-7.6,-299,-215,-260,-127,-579,200,981,-326,-1560
8,Goa,-4.8,-76.9,-55.4,-66.9,-135,-323,189,445,-325,-768
9,Gujarat,-6.2,-151.1,-108.8,-131.5,-7544,-353,12674,668,-20217,-1021
10,Haryana,-20.2,-195.7,-140.9,-170.3,-5193,-546,5612,632,-10805,-1178
11,Himachal Pradesh,-5,-164.7,-118.6,-143.3,-1562,-854,1300,569,-2862,-1423
12,Jammu and Kashmir,-1.9,-299,-215,-260,-4878,-1371,3830,808,-8708,-2178
13,Jharkhand,-45.4,-258.4,-186,-224.8,-12452,-1037,8873,796,-21325,-1833
14,Karnataka,-6.4,-146.2,-105.3,-127.2,-12058,-594,12963,650,-25021,-1244
15,Kerala,-6.4,-126.7,-91.2,-110.2,-5661,-598,5462,551,-11123,-1149
16,Madhya Pradesh,-21.2,-237.3,-170.8,-206.4,-19574,-776,24034,1013,-43608,-1789
17,Maharashtra,-8.4,-126.7,-91.2,-110.2,-13482,-385,17013,460,-30494,-844
18,Manipur,-2.6,-171.3,-123.3,-149,-990,-990,824,792,-1814,-1782
19,Meghalaya,-13.6,-214.5,-154.4,-186.6,-1308,-1077,923,736,-2232,-1813
20,Mizoram,-4,-121.1,-87.2,-105.4,-234,-526,175,373,-409,-899
21,Nagaland,-2.3,-175.2,-126.2,-152.5,-632,-1095,453,752,-1085,-1847
22,NCT of Delhi,-24.2,-299,-215,-260,-2331,-689,2663,847,-4994,-1536
23,Odisha,-24.8,-286.1,-206,-248.9,-15320,-1074,14296,1103,-29616,-2177
24,Puducherry,-5.1,-299,-215,-260,-145,-731,182,954,-327,-1686
25,Punjab,-8.8,-188.8,-135.9,-164.2,-4994,-470,4840,470,-9834,-940
26,Rajasthan,-10.7,-245.2,-176.5,-213.3,-16106,-635,24350,1089,-40456,-1724
27,Sikkim,-1.2,-135,-97.2,-117.4,-404,-1079,161,388,-565,-1466
28,Tamil Nadu,-6.3,-115.5,-83.2,-100.5,-10472,-488,8477,369,-18950,-857
29,Telangana,-11.4,-126.7,-91.2,-110.2,-6219,-530,7039,604,-13259,-1135
30,Tripura,-5.8,-199,-143.3,-173.1,-1728,-1154,1370,884,-3099,-2038
31,Uttar Pradesh,-30.3,-332,-239,-288.8,-76358,-1083,68523,1009,-144881,-2092
32,Uttarakhand,-3.7,-299,-215,-260,-3648,-1206,2589,706,-6237,-1912
33,West Bengal,-26.8,-296.8,-213.4,-258.1,-35234,-1255,23155,777,-58389,-2032
34,,,,,,,,,,,
35,India,-19,-248.6,-178.9,-216.2,-348152,-799,319387,791,-667539,-1589
