,location,apm25_popweighted,hpm25_female_popweighted,hpm25_male_popweighted,hpm25_child_popweighted,mort_tpm25_6cod_mean_total,dalys_tpm25_rate_6cod_mean_total,mort_apm25_6cod_mean_total,dalys_apm25_rate_6cod_mean_total,mort_hpm25_6cod_mean_total,dalys_hpm25_rate_6cod_mean_total
0,Andaman and Nicobar,-0.7,-136.8,-98.4,-118.9,-11,-222,3,84,-15,-306
1,Andhra Pradesh,-4.2,-64,-46.1,-55.7,-2903,-177,1885,125,-4789,-301
2,Arunachal Pradesh,-1.2,-81.1,-58.4,-70.5,-154,-296,39,68,-192,-364
3,Assam,-3.4,-107.9,-77.7,-93.9,-2882,-270,842,86,-3723,-356
4,Bihar,-20.5,-239.7,-172.6,-208.5,-12559,-316,2528,70,-15087,-386
5,Chhattisgarh,-8.1,-104.3,-75.1,-90.7,-2196,-228,1457,172,-3653,-400
6,Dadra and Nagar Haveli,-3.5,-136.8,-98.4,-118.9,-22,-173,22,201,-44,-374
7,Daman and Diu,-3.7,-136.8,-98.4,-118.9,-40,-173,41,201,-80,-373
8,Goa,-2.4,-34.9,-25.2,-30.4,-50,-116,58,139,-109,-255
9,Gujarat,-3.1,-66.1,-47.6,-57.5,-2532,-113,3269,178,-5800,-291
10,Haryana,-10.1,-85.8,-61.8,-74.7,-1662,-166,985,115,-2646,-281
11,Himachal Pradesh,-2.5,-77.5,-55.8,-67.4,-451,-215,224,88,-675,-303
12,Jammu and Kashmir,-1,-136.8,-98.4,-118.9,-1093,-255,453,81,-1546,-335
13,Jharkhand,-22.9,-115.6,-83.2,-100.6,-3412,-269,768,81,-4180,-349
14,Karnataka,-3.2,-66.8,-48.1,-58.1,-3735,-175,2771,146,-6506,-321
15,Kerala,-3.2,-58.3,-42,-50.7,-1802,-181,1164,120,-2966,-301
16,Madhya Pradesh,-10.6,-105,-75.6,-91.3,-5788,-217,4299,184,-10087,-402
17,Maharashtra,-4.1,-56.8,-40.8,-49.3,-4651,-128,4248,113,-8897,-239
18,Manipur,-1.3,-79.5,-57.2,-69.2,-263,-247,134,135,-398,-382
19,Meghalaya,-6.7,-98.6,-70.9,-85.8,-342,-262,109,91,-452,-353
20,Mizoram,-1.9,-56,-40.3,-48.8,-73,-157,31,68,-103,-225
21,Nagaland,-1.1,-82.2,-59.3,-71.6,-162,-264,65,114,-227,-378
22,NCT of Delhi,-12.1,-136.8,-98.4,-118.9,-722,-205,428,138,-1150,-343
23,Odisha,-12.5,-127.5,-91.8,-110.9,-3973,-263,1813,154,-5787,-417
24,Puducherry,-2.5,-136.8,-98.4,-118.9,-41,-192,31,166,-72,-358
25,Punjab,-4.4,-85.1,-61.2,-74,-1548,-139,828,84,-2376,-223
26,Rajasthan,-5.4,-108,-77.7,-93.9,-4855,-184,4959,230,-9813,-414
27,Sikkim,-0.5,-64.7,-46.6,-56.3,-101,-262,14,36,-115,-297
28,Tamil Nadu,-3.1,-53.4,-38.5,-46.5,-3467,-155,1656,74,-5124,-229
29,Telangana,-5.6,-61.5,-44.3,-53.5,-2222,-181,1892,166,-4115,-347
30,Tripura,-2.8,-91.7,-66,-79.7,-439,-272,199,134,-638,-405
31,Uttar Pradesh,-15.2,-148.9,-107.2,-129.5,-19751,-262,7758,117,-27508,-380
32,Uttarakhand,-1.8,-136.8,-98.4,-118.9,-819,-231,271,66,-1091,-297
33,West Bengal,-13.4,-135.8,-97.6,-118.1,-8673,-287,1869,59,-10542,-346
34,,,,,,,,,,,
35,India,-9.5,-112.3,-80.8,-97.7,-93393,-207,47114,136,-140508,-342
