,location,apm25_popweighted,hpm25_female_popweighted,hpm25_male_popweighted,hpm25_child_popweighted,mort_tpm25_6cod_mean_total,dalys_tpm25_rate_6cod_mean_total,mort_apm25_6cod_mean_total,dalys_apm25_rate_6cod_mean_total,mort_hpm25_6cod_mean_total,dalys_hpm25_rate_6cod_mean_total
0,Andaman and Nicobar,-0.6,-140.5,-101.1,-122.2,-12,-229,4,89,-15,-319
1,Andhra Pradesh,-4.5,-98.8,-71.2,-86,-4841,-301,4366,285,-9208,-585
2,Arunachal Pradesh,-1,-5.1,-3.6,-4.4,-13,-23,-8,-14,-4,-9
3,Assam,-2.5,-60.1,-43.2,-52.3,-1466,-136,249,26,-1715,-162
4,Bihar,-13.8,-110,-79.2,-95.7,-5145,-130,-320,-13,-4825,-117
5,Chhattisgarh,-7.7,-89.3,-64.3,-77.7,-1852,-192,1091,130,-2943,-321
6,Dadra and Nagar Haveli,-4,-140.5,-101,-122.2,-23,-180,23,206,-46,-387
7,Daman and Diu,-4,-140.5,-101,-122.2,-41,-180,43,207,-83,-387
8,Goa,-2.4,-76.9,-55.4,-66.9,-123,-295,201,473,-325,-768
9,Gujarat,-3.5,-87.6,-63.1,-76.3,-3483,-158,4934,265,-8417,-423
10,Haryana,-12.8,-191.8,-138.1,-166.9,-4438,-467,5864,654,-10302,-1122
11,Himachal Pradesh,-2.3,-97.2,-70,-84.6,-593,-294,359,138,-952,-432
12,Jammu and Kashmir,-0.8,-140.5,-101.1,-122.2,-1127,-264,484,86,-1612,-349
13,Jharkhand,-18.9,-118.9,-85.5,-103.4,-3300,-259,1331,129,-4631,-388
14,Karnataka,-3.3,-87.7,-63.2,-76.3,-5142,-244,4507,234,-9649,-478
15,Kerala,-3.6,-64.6,-46.5,-56.2,-2051,-207,1353,139,-3404,-346
16,Madhya Pradesh,-10.7,-61.7,-44.4,-53.6,-3549,-133,1129,52,-4678,-185
17,Maharashtra,-4,-50.7,-36.5,-44.1,-4143,-113,3554,94,-7696,-207
18,Manipur,-1.2,-5.2,-3.7,-4.5,-24,-22,-13,-14,-10,-8
19,Meghalaya,-4.6,-36.5,-26.2,-31.7,-127,-97,-10,-7,-118,-90
20,Mizoram,-1.7,-7.3,-5.2,-6.4,-18,-37,-10,-23,-7,-14
21,Nagaland,-1,-70.1,-50.5,-61,-132,-213,51,89,-182,-302
22,NCT of Delhi,-15,-140.5,-101,-122.2,-784,-224,376,121,-1160,-345
23,Odisha,-12.2,-91.5,-65.9,-79.6,-2834,-186,670,69,-3503,-254
24,Puducherry,-2.8,-140.5,-101,-122.2,-42,-200,32,170,-75,-371
25,Punjab,-5.3,-186.9,-134.5,-162.6,-4433,-416,5142,500,-9575,-915
26,Rajasthan,-6.5,-152,-109.4,-132.2,-7382,-282,8658,396,-16039,-677
27,Sikkim,-0.5,-82.4,-59.3,-71.6,-141,-372,26,65,-167,-436
28,Tamil Nadu,-3.7,-101.6,-73.2,-88.4,-7712,-356,6641,293,-14355,-649
29,Telangana,-5.9,-50.7,-36.5,-44.1,-1877,-151,1260,112,-3137,-265
30,Tripura,-2.4,-13.9,-10.1,-12.1,-75,-46,-27,-16,-49,-30
31,Uttar Pradesh,-15,-146.1,-105.1,-127.1,-19290,-256,7489,113,-26779,-369
32,Uttarakhand,-1.9,-140.5,-101,-122.2,-853,-240,278,68,-1130,-308
33,West Bengal,-13.8,-139.5,-100.3,-121.3,-8965,-297,2004,63,-10969,-360
34,,,,,,,,,,,
35,India,-9,-107.8,-77.6,-93.7,-96031,-212,61730,167,-157761,-379
