,location,apm25_popweighted,hpm25_female_popweighted,hpm25_male_popweighted,hpm25_child_popweighted,mort_tpm25_6cod_mean_total,dalys_tpm25_rate_6cod_mean_total,mort_apm25_6cod_mean_total,dalys_apm25_rate_6cod_mean_total,mort_hpm25_6cod_mean_total,dalys_hpm25_rate_6cod_mean_total
0,Andaman and Nicobar,-0.6,0,0,0,-1,-6,-1,-10,0,3
1,Andhra Pradesh,-4.3,-98.3,-70.8,-85.6,-5980,-310,6816,330,-12796,-640
2,Arunachal Pradesh,-1.1,-9.3,-6.6,-8,-42,-32,8,-8,-49,-24
3,Assam,-2.6,-55.5,-39.9,-48.3,-2970,-277,1687,144,-4657,-420
4,Bihar,-11.6,-104.3,-75.2,-90.8,-9624,-204,8925,169,-18549,-374
5,Chhattisgarh,-7.7,-98.6,-71,-85.7,-3122,-212,3657,222,-6780,-434
6,Dadra and Nagar Haveli,-4.2,0,0,0,-2,-16,-4,-33,2,15
7,Daman and Diu,-4.3,-299,-215,-260,-122,-553,205,1007,-326,-1560
8,Goa,-2.5,-76.9,-55.4,-66.9,-124,-295,200,473,-325,-768
9,Gujarat,-3.2,-90.8,-65.4,-79,-4389,-154,7689,285,-12077,-439
10,Haryana,-17.1,-190.5,-137.2,-165.8,-4824,-507,5690,635,-10514,-1141
11,Himachal Pradesh,-2.3,-107.1,-77.1,-93.1,-920,-224,904,190,-1824,-414
12,Jammu and Kashmir,-0.7,-102.3,-73.6,-88.9,-1567,-95,1363,81,-2930,-175
13,Jharkhand,-19.3,-120.3,-86.6,-104.7,-4750,-284,4695,247,-9446,-531
14,Karnataka,-3.4,-87.7,-63.2,-76.3,-7049,-257,7908,280,-14957,-537
15,Kerala,-3.8,-93.3,-67.2,-81.2,-3889,-335,4197,335,-8085,-670
16,Madhya Pradesh,-10.9,-66.3,-47.7,-57.7,-5424,-168,5803,168,-11227,-336
17,Maharashtra,-4,-65.5,-47.1,-56.9,-6509,-121,8901,127,-15409,-247
18,Manipur,-1.2,-4.7,-3.4,-4.1,-37,-39,3,4,-40,-42
19,Meghalaya,-4.4,-55.9,-40.2,-48.6,-327,-212,237,124,-565,-336
20,Mizoram,-1.7,-5.5,-3.9,-4.8,-20,-36,-5,-19,-15,-17
21,Nagaland,-1,-25.1,-18.1,-21.9,-97,-100,56,46,-153,-147
22,NCT of Delhi,-20.5,-299,-215,-260,-2225,-657,2769,879,-4994,-1536
23,Odisha,-11.4,-89.2,-64.2,-77.6,-4512,-221,4222,192,-8734,-413
24,Puducherry,-2.7,-299,-215,-260,-140,-701,187,984,-327,-1686
25,Punjab,-6.3,-187,-134.6,-162.7,-4610,-433,5132,496,-9742,-928
26,Rajasthan,-7.5,-147,-105.8,-127.9,-9637,-271,14408,440,-24045,-711
27,Sikkim,-0.4,-17.8,-12.8,-15.4,-57,-99,16,22,-74,-120
28,Tamil Nadu,-4,-99.1,-71.4,-86.3,-8344,-356,7828,303,-16173,-659
29,Telangana,-5.8,-95.6,-68.8,-83.1,-4241,-291,5674,380,-9915,-672
30,Tripura,-2.1,-57.6,-41.5,-50.1,-455,-231,407,187,-862,-418
31,Uttar Pradesh,-14.9,-159.6,-114.9,-138.8,-32467,-392,34494,415,-66961,-807
32,Uttarakhand,-1.9,-210.9,-151.6,-183.3,-2369,-391,1973,290,-4342,-682
33,West Bengal,-14.1,-198.7,-142.9,-172.8,-20658,-559,17905,438,-38563,-997
34,,,,,,,,,,,
35,India,-9.1,-119,-85.6,-103.4,-151502,-245,163951,266,-315453,-510
